batch_size,dropout,hidden_size,learning_rate,num_layers,shuffle,split_type,use_attention,weight_decay,window_size,r2,test_rmse,test_mae,best_val_rmse,epochs,time_sec
2048,0.3,384,0.001,1,True,lc,False,0.001,48,0.5677803754806519,0.12411913275718689,0.061880357563495636,0.18456933728881147,51,38.8
2048,0.15,384,0.001,1,True,lc,False,0.0005,48,0.5669329166412354,0.12424075603485107,0.0556081123650074,0.18287262027845055,47,36.8
1024,0.3,384,0.001,1,True,lc,False,0.0005,48,0.5637893676757812,0.12469085305929184,0.0595247857272625,0.1792519165293777,34,27.8
2048,0.1,384,0.001,1,True,lc,False,0.0005,48,0.5624823570251465,0.12487752735614777,0.05406849458813667,0.1818313732210449,50,38.6
1024,0.3,384,0.001,1,True,lc,False,0.001,48,0.5605427026748657,0.1251540333032608,0.06340652704238892,0.1850953974904188,34,27.5
2048,0.2,384,0.001,1,True,lc,False,0.001,48,0.5560108423233032,0.12579768896102905,0.05814819410443306,0.18371207666726325,46,35.1
2048,0.1,384,0.001,1,True,lc,False,0.001,48,0.5467070937156677,0.1271088868379593,0.05915897339582443,0.18372128945352226,47,36.4
1024,0.1,384,0.001,1,True,lc,True,0.0001,48,0.5208197832107544,0.13068805634975433,0.06934448331594467,0.18889007361203372,36,67.1
2048,0.15,384,0.001,1,True,lc,True,0.0,48,0.5141452550888062,0.13159510493278503,0.06954622268676758,0.1933169713051593,43,81.5
1024,0.15,384,0.001,1,True,lc,True,0.0,48,0.5075764656066895,0.13248169422149658,0.07942375540733337,0.19204877900190104,31,58.0
2048,0.1,384,0.001,1,True,lc,True,0.0,48,0.49962007999420166,0.13354770839214325,0.07370088994503021,0.19580331474986906,32,57.6
2048,0.1,384,0.001,1,True,lc,True,0.0001,48,0.4983762502670288,0.13371358811855316,0.07200220227241516,0.19127120499845593,37,71.0
1024,0.2,384,0.001,1,True,lc,True,0.001,48,0.49326062202453613,0.13439367711544037,0.07184743881225586,0.1909030705434376,59,114.0
1024,0.3,384,0.001,1,True,lc,True,0.0001,48,0.485007107257843,0.1354837268590927,0.09175089001655579,0.19443142960687979,37,73.5
1024,0.15,384,0.001,1,True,lc,True,0.001,48,0.4847998023033142,0.13551098108291626,0.07186062633991241,0.19736034907162917,58,112.8
2048,0.1,384,0.001,1,True,lc,True,0.0005,48,0.48408323526382446,0.13560518622398376,0.07888583093881607,0.1932058009979666,52,99.5
1024,0.15,384,0.001,1,True,lc,True,0.0001,48,0.48126012086868286,0.1359757035970688,0.0803702250123024,0.1926340515949059,37,70.7
2048,0.15,384,0.001,1,True,lc,True,0.0001,48,0.47641026973724365,0.13660986721515656,0.07696893811225891,0.19482304173205747,53,103.1
1024,0.1,384,0.001,1,True,lc,True,0.0005,48,0.47606557607650757,0.1366548240184784,0.07335825264453888,0.1940914243458354,45,85.5
2048,0.15,384,0.001,1,True,lc,True,0.001,48,0.472551167011261,0.13711237907409668,0.07827528566122055,0.193770150793618,36,70.5
1024,0.1,384,0.001,1,True,lc,True,0.001,48,0.47059863805770874,0.13736592233181,0.0781000405550003,0.19153374248764884,39,73.0
1024,0.2,384,0.001,1,True,lc,True,0.0005,48,0.4695388078689575,0.13750335574150085,0.07444312423467636,0.19130949331984468,51,100.1
1024,0.15,384,0.001,1,True,lc,True,0.0005,48,0.4654403328895569,0.13803352415561676,0.07269687205553055,0.19536889428393764,37,71.0
2048,0.2,384,0.001,1,True,lc,True,0.0005,48,0.4615631699562073,0.13853320479393005,0.08454443514347076,0.1941112985212954,60,116.4
2048,0.2,384,0.001,1,True,lc,True,0.001,48,0.45676112174987793,0.13914959132671356,0.07975737005472183,0.19258985441026283,69,131.8
1024,0.2,384,0.001,1,True,lc,True,0.0001,48,0.4522746801376343,0.139723002910614,0.08848784863948822,0.19833968337855812,38,73.8
2048,0.15,384,0.001,1,True,lc,True,0.0005,48,0.4516303539276123,0.1398051679134369,0.08675488829612732,0.19678239071391615,53,103.0
1024,0.2,384,0.001,1,True,lc,True,0.0,48,0.45148539543151855,0.13982363045215607,0.0888398289680481,0.19196189733130298,50,96.2
1024,0.3,384,0.001,1,True,lc,True,0.001,48,0.44985389709472656,0.14003142714500427,0.07931544631719589,0.19337971653977,51,99.7
2048,0.2,384,0.001,1,True,lc,True,0.0,48,0.4481838345527649,0.14024381339550018,0.08683639019727707,0.1999263375187639,31,57.3
2048,0.2,384,0.001,1,True,lc,True,0.0001,48,0.4454028606414795,0.14059676229953766,0.09046505391597748,0.19767878966235802,41,78.0
2048,0.3,384,0.001,1,True,lc,True,0.0005,48,0.4391902685165405,0.14138205349445343,0.0950322225689888,0.19991881099440725,56,106.4
1024,0.3,384,0.001,1,True,lc,True,0.0,48,0.4371599555015564,0.14163774251937866,0.09960970282554626,0.20188011850369625,54,105.9
1024,0.3,384,0.001,1,True,lc,True,0.0005,48,0.43432390689849854,0.14199413359165192,0.09232302010059357,0.19889365474689844,44,85.9
2048,0.3,384,0.001,1,True,lc,True,0.0001,48,0.41815829277038574,0.14400875568389893,0.10471957921981812,0.1988607661532504,36,69.3
1024,0.1,384,0.001,1,True,lc,True,0.0,48,0.41435229778289795,0.14447900652885437,0.07948543131351471,0.19303297157510207,31,53.9
2048,0.1,384,0.001,1,True,lc,True,0.001,48,0.40438956022262573,0.14570271968841553,0.08911232650279999,0.1941879010689417,53,100.2
2048,0.3,384,0.001,1,True,lc,True,0.001,48,0.39881080389022827,0.14638349413871765,0.09717746078968048,0.19692230611640907,48,90.4
2048,0.3,384,0.001,1,True,lc,True,0.0,48,0.3489750027656555,0.1523299664258957,0.1149686947464943,0.19317664618803324,35,66.9
