컬럼,원본_결측,원본_결측률(%),처리후_결측,원본_평균,처리후_평균,원본_표준편차,처리후_표준편차
TA,10894,1.39,0,13.59,13.60,11.65,11.65
RN_15m,12636,1.62,0,0.03,0.03,0.34,0.34
RN_60m,12897,1.65,0,0.13,0.13,1.04,1.04
RN_12H,17863,2.28,0,1.62,1.62,6.63,6.58
RN_DAY,12551,1.61,0,1.75,1.75,7.34,7.30
HM,10894,1.39,0,62.36,62.38,19.49,19.48
TD,10894,1.39,0,5.87,5.89,13.04,13.05
