컬럼,원본_결측,원본_결측률(%),처리후_결측,원본_평균,처리후_평균,원본_표준편차,처리후_표준편차
TOC_VU,88031,17.11,0,5.28,4.94,10.29,8.89
PH_VU,88031,17.11,0,7.06,7.02,0.20,0.22
SS_VU,88031,17.11,0,1.47,1.52,3.04,2.64
FLUX_VU,88026,17.11,0,16690.34,13173.10,234804.90,202981.16
TN_VU,88027,17.11,0,7.09,6.55,5.92,5.41
TP_VU,88031,17.11,0,0.11,0.09,0.90,0.78
