컬럼,원본_결측,원본_결측률(%),처리후_결측,원본_평균,처리후_평균,원본_표준편차,처리후_표준편차
TA,92,0.01,0,13.35,13.35,11.65,11.65
RN_15m,5633,0.72,0,0.03,0.03,0.33,0.33
RN_60m,6034,0.77,0,0.13,0.13,1.01,1.00
RN_12H,10795,1.38,0,1.58,1.59,6.47,6.44
RN_DAY,5517,0.71,0,1.71,1.72,7.18,7.19
HM,88,0.01,0,65.69,65.69,20.53,20.53
TD,92,0.01,0,6.37,6.37,13.04,13.04
