컬럼,원본_결측,원본_결측률(%),처리후_결측,원본_평균,처리후_평균,원본_표준편차,처리후_표준편차
flow_TankA,0,0.00,0,182.56,182.55,47.49,47.51
flow_TankB,0,0.00,0,197.11,197.10,53.95,53.96
level_TankA,0,0.00,0,2.48,2.48,0.64,0.64
level_TankB,0,0.00,0,2.48,2.48,0.64,0.64
