index,feature_name
29,FLUX_VU_tlag_2
31,FLUX_VU_tlag_6
40,FLUX_VU_troll_mean_12
42,FLUX_VU_troll_max_12
52,FLUX_VU_tdiff_1
53,FLUX_VU_tdiff_2
54,FLUX_VU_tdiff_6
55,FLUX_VU_tpct_1
56,FLUX_VU_tpct_6
59,FLUX_VU_tewma_24
178,TOC_VU_roll_std_6
368,TP_VU_roll_std_24
373,SS_VU_roll_std_24
378,TOC_VU_roll_std_24
466,TN_VU_roll_IQR_72
478,TOC_VU_roll_std_72
489,TD_368_roll_max_72
