index,feature_name
27,flow_TankA_tlag_2
52,flow_TankA_tdiff_6
54,flow_TankA_tpct_6
58,flow_TankB_tlag_2
82,flow_TankB_tdiff_2
85,flow_TankB_tpct_6
669,hour_sin
670,hour_cos
673,weekday
675,hour_x_weekday
